iter time likelihood converge
0001 000053 -57322.67104 1.0000000000
0002 000106 -22848.96090 0.6013974839
0003 000158 -19773.24927 0.1346105693
0004 000211 -19154.04502 0.0313152500
0005 000263 -18914.10853 0.0125266748
0006 000315 -18786.35368 0.0067544738
0007 000368 -18707.89802 0.0041762049
0008 000420 -18655.54780 0.0027982951
0009 000472 -18618.56167 0.0019825808
0010 000524 -18591.29171 0.0014646649
0011 000577 -18570.50199 0.0011182508
0012 000629 -18554.21764 0.0008768929
0013 000681 -18541.17297 0.0007030570
0014 000734 -18530.52395 0.0005743443
0015 000786 -18521.68891 0.0004767833
0016 000839 -18514.25557 0.0004013317
0017 000891 -18507.92461 0.0003419502
0018 000943 -18502.47415 0.0002944936
0019 000996 -18497.73662 0.0002560482
0020 001048 -18493.58346 0.0002245227
0021 001117 -18489.91455 0.0001983884
0022 001169 -18486.65091 0.0001765090
0023 001222 -18483.72952 0.0001580273
0024 001274 -18481.09950 0.0001422884
0025 001326 -18478.71940 0.0001287855
0026 001378 -18476.55514 0.0001171218
0027 001431 -18474.57844 0.0001069840
0028 001483 -18472.76568 0.0000981219
